"filename", "language", "C++", "XML", "Log", "Markdown", "Ini", "JSON", "comment", "blank", "total"
"d:\C++\FakeWordMfc\WordDocumentInputHook\framework.h", "C++", 3, 0, 0, 0, 0, 0, 1, 2, 6
"d:\C++\FakeWordMfc\WordDocumentInputHook\pch.cpp", "C++", 1, 0, 0, 0, 0, 0, 2, 3, 6
"d:\C++\FakeWordMfc\WordDocumentInputHook\pch.h", "C++", 5, 0, 0, 0, 0, 0, 6, 4, 15
"d:\C++\FakeWordMfc\WordDocumentInputHook\x64\Debug\WordDocumentInputHook.Build.CppClean.log", "Log", 0, 0, 22, 0, 0, 0, 0, 1, 23
"d:\C++\FakeWordMfc\WordDocumentInputHook\x64\Debug\WordDocumentInputHook.log", "Log", 0, 0, 1, 0, 0, 0, 0, 1, 2
"d:\C++\FakeWordMfc\WordDocumentInputHook\x64\Release\WordDocumentInputHook.Build.CppClean.log", "Log", 0, 0, 10, 0, 0, 0, 0, 1, 11
"d:\C++\FakeWordMfc\WordDocumentInputHook\x64\Release\WordDocumentInputHook.log", "Log", 0, 0, 13, 0, 0, 0, 0, 1, 14
"d:\C++\FakeWordMfc\x64\Debug\WordDocumentInputHook.dll.1.log", "Log", 0, 0, 4968, 0, 0, 0, 0, 292, 5260
"d:\C++\FakeWordMfc\x64\Debug\config.ini", "Ini", 0, 0, 0, 0, 2, 0, 0, 1, 3
"Total", "-", 5954, 416, 5092, 117, 2, 217, 1812, 1270, 14880
